sentence,d_num,speaker,label,혐오,선정,범죄,욕설,비난,비도덕 아님,폭력,차별
오늘 우리 사장님 진상 환불충 때문에 엄청 고생했어,9,화자1,"혐오,비난",1,0,0,0,1,0,0,0
어우 진짜 한남들 궁상떠는 거 너무 싫다,9,화자2,"혐오,비난",1,0,0,0,1,0,0,0
야 얘가 언제 남자라고 말했냐?,9,화자3,비도덕 아님,0,0,0,0,0,1,0,0
남잔지 여잔지 알아?,9,화자3,비도덕 아님,0,0,0,0,0,1,0,0
아니 몰라 그냥 사장님이 전화기 한 시간 동안 붙들고 있는 것만 봤어,9,화자1,비도덕 아님,0,0,0,0,0,1,0,0
거봐 근데 왜 한남 타령이야,9,화자3,비도덕 아님,0,0,0,0,0,1,0,0
그런건 맘충들이 제일 잘하는 거 아니야?,9,화자3,"혐오,비난",1,0,0,0,1,0,0,0
그렇게 환불 받는거 딱봐도 한남 밖에 없는데 무슨,9,화자2,"혐오,비난",1,0,0,0,1,0,0,0
아니 어떻게 이 글을 보고 저런 반응이 나오지?,10,화자1,비도덕 아님,0,0,0,0,0,1,0,0
아찔하다 한남 문해력,10,화자1,비난,0,0,0,0,1,0,0,0
대긋빡에 든 게 없는데 어쩌겠어,10,화자2,비난,0,0,0,0,1,0,0,0
우리나라 페미들은 도대체 어떻게 해야 정신을 차릴까?,11,화자1,비난,0,0,0,0,1,0,0,0
아이고 어려운 고민을 하시네요 ㅋㅋㅋ,11,화자2,비난,0,0,0,0,1,0,0,0
너가 죽으면 다 해결돼!!!,11,화자2,"혐오,비난,폭력",1,0,0,0,1,0,1,0
한남들아 머리 아프게 살지 말고 재기하자!!!,11,화자2,"혐오,비난,폭력",1,0,0,0,1,0,1,0
우리 팀 여직원 오늘 안나와서 연차썼나 했더니 생리공결이래,12,화자1,비도덕 아님,0,0,0,0,0,1,0,0
진짜 역차별 아니냐?,12,화자1,비도덕 아님,0,0,0,0,0,1,0,0
꾀병에 공결주는 건데 역차별 맞지,12,화자2,비난,0,0,0,0,1,0,0,0
없애달라고 청원이나 해볼까 ㅋㅋㅋ,12,화자2,비도덕 아님,0,0,0,0,0,1,0,0
좋아좋아 ㅋㅋ,12,화자3,비도덕 아님,0,0,0,0,0,1,0,0
진짜... 빡대긋빡 한남들이 많구나,12,화자4,"비난,욕설",0,0,0,1,1,0,0,0
단체로 개뷔응신되기 교육을 받았나,12,화자4,"혐오,비난,욕설",1,0,0,1,1,0,0,0
한남 수준이 뭐 그렇지.. 더이상 할 말도 없다,12,화자5,비난,0,0,0,0,1,0,0,0
맨날 직장 내 성범죄 어쩌구 하는데 솔직히 그런건 여자가 처신 잘하면 안 당하는 거 아니냐?,13,화자1,비난,0,0,0,0,1,0,0,0
그런 케이스는 오히려 꽃뱀인 경우가 더 많다고 본다,13,화자1,비난,0,0,0,0,1,0,0,0
아 진짜... 바닥을 보이다 못해 싱크홀 뚫는 한남들,13,화자2,비난,0,0,0,0,1,0,0,0
이걸 말이라고 하는 거냐?,13,화자3,비도덕 아님,0,0,0,0,0,1,0,0
진짜 답 없네,13,화자3,비도덕 아님,0,0,0,0,0,1,0,0
요즘 애들 힘든 건 알지만 헬조선이니 뭐니 이런 말은 안했으면 좋겠네,14,화자1,비도덕 아님,0,0,0,0,0,1,0,0
진짜 어려웠던 시기를 못 겪어봐서 그런가 조금만 힘들어도 과격한 표현을 쓰는 것 같아,14,화자1,비도덕 아님,0,0,0,0,0,1,0,0
모르면서 아는 척 오지네 틀딱,14,화자2,"혐오,비난",1,0,0,0,1,0,0,0
편의점에서 일하는데 할아버지가 거스름 잘못 줬다고 1시간을 생떼 부리는데 진짜 빡쳤음...,15,화자1,비도덕 아님,0,0,0,0,0,1,0,0
더하기 빼기가 안 되나봐,15,화자1,비난,0,0,0,0,1,0,0,0
이야... 틀딱남 주작이길 바랄 정도로 띨빡이네,15,화자2,"혐오,비난",1,0,0,0,1,0,0,0
나 우연히 남동생 카톡 봤다가 진짜 깜짝 놀랐다,16,화자1,비도덕 아님,0,0,0,0,0,1,0,0
내 동생도 어쩔 수 없는 한남이었음 ㅜㅜ,16,화자1,"비난,혐오",1,0,0,0,1,0,0,0
여자 얼평하고 더러운 얘기 천지더라,16,화자1,비도덕 아님,0,0,0,0,0,1,0,0
음... 그냥 한남 단톡방 평균,16,화자2,"비난,혐오",1,0,0,0,1,0,0,0
오늘 간만에 종로 갔는데 틀딱들 천지야,17,화자1,혐오,1,0,0,0,0,0,0,0
절대 가지마,17,화자1,비도덕 아님,0,0,0,0,0,1,0,0
도시 정화 사업으로 틀딱들 한 번 싹 쓸어줬으면 좋겠다,17,화자2,"혐오,폭력",1,0,0,0,0,0,1,0
요즘 여자들 진짜 남자들이 봐주는 건지도 모르고 기어오름,18,화자1,비난,0,0,0,0,1,0,0,0
봐준다고? 여자 살인이나 하지마 한남아,18,화자2,"비난,폭력,범죄",0,0,1,0,1,0,1,0
여자들 진짜 웃겨,19,화자1,비도덕 아님,0,0,0,0,0,1,0,0
못생긴 여자 연애인들한테는 언니~ ㅇㅈ롤하고 예쁜 여자 연애인들은 뭐만 하면 욕함,19,화자1,욕설,0,0,0,1,0,0,0,0
역시 여적여,19,화자2,비난,0,0,0,0,1,0,0,0
한남들 열폭이 더 오질걸? ㅋㅋㅋ,19,화자3,비난,0,0,0,0,1,0,0,0
우리 회사에 남자 신입사원 들어왔는데 여자 상사 대하는 거랑 남자 상사 대하는 태도가 완전 달라,20,화자1,비도덕 아님,0,0,0,0,0,1,0,0
여자 상사말 개무시하고 남자 상사한테는 꼼짝도 못해,20,화자1,비도덕 아님,0,0,0,0,0,1,0,0
그걸 너도 알 수 있게 그렇게 티나게 한다고?,20,화자2,비도덕 아님,0,0,0,0,0,1,0,0
응응 한 번은 나랑 상사 욕하다가 그래도 선배는 결혼하면 관둘 수 있으니까 괜찮지 않냐고 해서 개빡쳤음,20,화자1,비도덕 아님,0,0,0,0,0,1,0,0
그런 정신머리 가지고 있는 샛기가 사회생활 하고 있다는 거 자체가 어메이징하다,20,화자2,"비난,욕설",0,0,0,1,1,0,0,0
우리 회사 유부남 부장이 신입 사원한테 겁나 들이대,21,화자1,비도덕 아님,0,0,0,0,0,1,0,0
걔 무서워서 싫은 소리도 못하고 뒤에서 우는데 너무 안쓰러워,21,화자1,비도덕 아님,0,0,0,0,0,1,0,0
와 개추잡스럽다,21,화자2,"혐오,비난",1,0,0,0,1,0,0,0
틀딱이야 뉴틀딱이야 그냥 한남이야?,21,화자2,혐오,1,0,0,0,0,0,0,0
뉴틀딱...,21,화자1,혐오,1,0,0,0,0,0,0,0
여중사 또 성폭력 때문에 자살 했대,22,화자1,비도덕 아님,0,0,0,0,0,1,0,0
그거 몇 달 전 일 아니야?,22,화자2,비도덕 아님,0,0,0,0,0,1,0,0
아니 그건 육군이고 이번엔 해군,22,화자1,비도덕 아님,0,0,0,0,0,1,0,0
짐승보다 못한 한남들;,22,화자2,비난,0,0,0,0,1,0,0,0
바퀴벌레만도 못한 샛기들 지구에서 한남 제일 유해함,22,화자2,"혐오,비난,욕설",1,0,0,1,1,0,0,0
이 정도면 한남은 낳는 게 사회악이다,22,화자1,"혐오,비난,폭력",1,0,0,0,1,0,1,0
국가대표 숏컷 했다고 페미라고 비난하는게 말이 되냐,23,화자1,비도덕 아님,0,0,0,0,0,1,0,0
진짜 한남들 머가리에 뭐가 든거야,23,화자1,비난,0,0,0,0,1,0,0,0
그거 해외 뉴스에도 떴대,23,화자2,비도덕 아님,0,0,0,0,0,1,0,0
진짜 창피하다 한남때문에 ㅠ,23,화자2,비난,0,0,0,0,1,0,0,0
나라 망신 다시키네 쪽팔리게,23,화자1,비난,0,0,0,0,1,0,0,0
이 정도면 국가 위신을 위해서 한남들 사라져줘야되는 거 아님?,23,화자1,비난,0,0,0,0,1,0,0,0
요즘 남자들 왜 이렇게 기어 오르냐,24,화자1,비난,0,0,0,0,1,0,0,0
내 남자친구 원래 내 눈치보기 바빴는데 요즘 좀 이상해졌어,24,화자1,비도덕 아님,0,0,0,0,0,1,0,0
일베 하는 거 아닌지 확인해봐,24,화자2,비도덕 아님,0,0,0,0,0,1,0,0
아니면 그냥 한남 종특 슬슬 나오는 걸 수도 있어,24,화자2,"혐오,비난",1,0,0,0,1,0,0,0
이제 자기 말이 다 맞아요 마저도 안 함 ㅋㅋㅋ,24,화자1,비도덕 아님,0,0,0,0,0,1,0,0
요즘 한남들 가망이 없어,24,화자2,비난,0,0,0,0,1,0,0,0
어디든 한남들 끼면 자적자라고 분위기 박살남,25,화자1,"혐오,비난",1,0,0,0,1,0,0,0
ㅇㄱㄹㅇ 한남들 눈에 띄지 말고 사라져라~~,25,화자2,"혐오,비난",1,0,0,0,1,0,0,0
우리 대학 선배 중에 하나가 맨날 명품 입고 다니고 돈 잘써서 부잣집 도련님인 줄 알았는데 창넘이었음,26,화자1,"혐오,비난,선정",1,1,0,0,1,0,0,0
와 진짜 충격이다,26,화자2,비도덕 아님,0,0,0,0,0,1,0,0
어떻게 알았어?,26,화자2,비도덕 아님,0,0,0,0,0,1,0,0
그 오빠 친구가 잠깐 전화 온 거 대신 받았는데 그런 전화였대,26,화자1,비도덕 아님,0,0,0,0,0,1,0,0
더 충격인 건 스트레이트도 아니고 바텀 알바래,26,화자1,비도덕 아님,0,0,0,0,0,1,0,0
그렇게 돈 벌고 도박으로 날리고 못 끊고 대학 때부터 지금 30 넘어서까지 하는 거래,26,화자1,비도덕 아님,0,0,0,0,0,1,0,0
와 ㄹㅇ 한남게이들 제정신 아닌 애들 널렸구나,26,화자2,"차별,혐오,비난",1,0,0,0,1,0,0,1
스승이랑 제자 사이를 사랑이라고 포장하는 거 진짜 심각한 거 아니야?,27,화자1,비도덕 아님,0,0,0,0,0,1,0,0
범죄인데 쪽팔린 줄 알아야지 뭐 아름다운 일이라고 기사가 나?,27,화자1,비도덕 아님,0,0,0,0,0,1,0,0
이런 기사에 좋아요 훈훈해요 누르는 빡대긋빡들 다 한남이겠지?,27,화자2,"비난,욕설",0,0,0,1,1,0,0,0
나 오늘 남친이랑 헤어졌어,28,화자1,비도덕 아님,0,0,0,0,0,1,0,0
헐.. 괜찮아?,28,화자2,비도덕 아님,0,0,0,0,0,1,0,0
왜 헤어졌어?,28,화자2,비도덕 아님,0,0,0,0,0,1,0,0
오늘 걔 자취방 갔는데 배달 음식 먹고서 지가 하나도 안 치우더라고,28,화자1,비도덕 아님,0,0,0,0,0,1,0,0
손 하나 까딱 안 하는게 결혼하면 뻔할 것 같아서 그냥 미리 손절했음,28,화자1,비도덕 아님,0,0,0,0,0,1,0,0
한남이 한남했구먼... ㅠ,28,화자2,"혐오,비난",1,0,0,0,1,0,0,0
한남은 거두는 거 아니다,28,화자3,혐오,1,0,0,0,0,0,0,0
잘 헤어졌어,28,화자3,비도덕 아님,0,0,0,0,0,1,0,0
아 오늘 소개팅 갔다 왔는데 말끝마다 오빠는 오빠는 해서 진짜 토할 뻔 했어,29,화자1,비난,0,0,0,0,1,0,0,0
아 진짜 말만 들어도 역하다 역해,29,화자2,비난,0,0,0,0,1,0,0,0
오빠는~ 웅앵 하는 거 진짜 한남 종특아니냐,29,화자2,비난,0,0,0,0,1,0,0,0
진짜 소개팅 다시는 안 할래,29,화자1,비도덕 아님,0,0,0,0,0,1,0,0
뚠뚠한 한남들이 꼴에 명품 걸치고 다니는 거 보면 진짜 같잖음,30,화자1,"혐오,비난",1,0,0,0,1,0,0,0
그니까 돼지 목에 진주 목걸이지,30,화자2,비난,0,0,0,0,1,0,0,0
그런 거 입으면 자기도 괜찮아 보일거라고 생각하겠지 ㅋㅋㅋ,30,화자2,비난,0,0,0,0,1,0,0,0
돈 들여서 헛짓거리 하는 거 보면 불쌍하기도 하네 ㅋㅋ,30,화자1,비난,0,0,0,0,1,0,0,0
오늘 여친이랑 일본 여행 간다~,31,화자1,비도덕 아님,0,0,0,0,0,1,0,0
오 일본이면 당연히 자고 오겠네 ㅋㅋㅋㅋ,31,화자2,비도덕 아님,0,0,0,0,0,1,0,0
ㅋㅋㅋㅋ 당연하지 원래 겁나 튕기는데 오늘밤 무조건 따먹을거임,31,화자1,선정,0,1,0,0,0,0,0,0
어우 대화 저급한 수준이 딱 한남들 대화네,31,화자3,"혐오,비난",1,0,0,0,1,0,0,0
같잖다 진짜,31,화자3,비난,0,0,0,0,1,0,0,0
우리 회사 만년 과장 하나 있는데 분노조절장애 있는 듯,32,화자1,비난,0,0,0,0,1,0,0,0
만년 과장이면 답 없네...,32,화자2,비난,0,0,0,0,1,0,0,0
인생 조창나서 인성도 조창난 한남의 전형적인 모습이네요,32,화자2,"비난,욕설",0,0,0,1,1,0,0,0
오늘 우리 회사 여직원이 내가 지 _어 봤다고 ㅈ롤ㅈ롤을 하는데 진짜 어이가 없더라,33,화자1,"비난,욕설",0,0,0,1,1,0,0,0
볼 것도 없는게 진짜 짜증나게,33,화자1,비난,0,0,0,0,1,0,0,0
미쳤나 진짜 지가 잘못해놓고 성내네,33,화자2,"비난,욕설",0,0,0,1,1,0,0,0
얘는 지가 잘못한 줄도 몰라,33,화자3,비도덕 아님,0,0,0,0,0,1,0,0
한남들한테 저정도는 뭐 일상이니까 그지?,33,화자3,비난,0,0,0,0,1,0,0,0
더러운 샛기들아 부끄러운 줄 알아라,33,화자3,욕설,0,0,0,1,0,0,0,0
식당에서 밥 먹는데 옆에 할아버지 틀니 딱딱 소리 진짜 밥맛 떨어지게 하네,34,화자1,"혐오,비난",1,0,0,0,1,0,0,0
왜 틀딱 틀딱 하는지 알겠네 ㅋㅋㅋㅋ,34,화자1,"혐오,비난",1,0,0,0,1,0,0,0
다른 사람 밥 맛 떨어지게 하지 말고 눈치껏 집에 짜져 있었으면 좋겠음,34,화자2,"혐오,비난",1,0,0,0,1,0,0,0
82년생 김지영이 페미 교과서라며?,35,화자1,비도덕 아님,0,0,0,0,0,1,0,0
여자들 다같이 피해의식 찌들어서 징징거리는 거 한심하네 진짜,35,화자1,비난,0,0,0,0,1,0,0,0
한남들 책도 안 읽으면서 ㅈ롤 하네 ㅋㅋㅋ,35,화자2,"비난,욕설",0,0,0,1,1,0,0,0
아 그거 아니라고 그냥 냅둬 내가 할테니까,36,화자1,비도덕 아님,0,0,0,0,0,1,0,0
왜 이렇게 예민해 생리하냐?,36,화자2,비도덕 아님,0,0,0,0,0,1,0,0
그걸 말이라고 하냐?,36,화자1,비도덕 아님,0,0,0,0,0,1,0,0
너도 일베 한남이구나?,36,화자1,혐오,1,0,0,0,0,0,0,0
뭔 아는 척이야 개뼈따구도 모르면서 짜증나게,36,화자1,비난,0,0,0,0,1,0,0,0
TV 돌리다 국회 방송 잠깐 봤는데 개판이더만,37,화자1,비난,0,0,0,0,1,0,0,0
잼민이가 정치해도 저렇게는 안하겠더라,37,화자1,"혐오,비난",1,0,0,0,1,0,0,0
진짜 개한심함,37,화자2,비난,0,0,0,0,1,0,0,0
한남이 과반이라 그래,37,화자3,비난,0,0,0,0,1,0,0,0
왠 기사에 틀딱 냄새가 나지?,38,화자1,"비난,혐오",1,0,0,0,1,0,0,0
이 정도면 컨펌 해준 사람도 틀딱임,38,화자2,"비난,혐오",1,0,0,0,1,0,0,0
무식한 건 죄가 아니지만 배우지 않으려는 태도는 부끄러운 거라는 말이 있다,39,화자1,비도덕 아님,0,0,0,0,0,1,0,0
그런데 요즘은 배우지 않으려는 걸 부끄러워하기는 커녕 더 아는 사람을 꼰대취급하고 다 같이 끌어내리려는게 수준 떨어진다 정말,39,화자1,비도덕 아님,0,0,0,0,0,1,0,0
틀딱이건 나이가 어린 사람이건 배울 수 있는 점은 나이 막론하고 배워야 인간이 성장하는 거 아니냐고,39,화자1,비도덕 아님,0,0,0,0,0,1,0,0
틀딱도 저런 말 안한다,39,화자2,"비난,혐오",1,0,0,0,1,0,0,0
진지충 납셨네 ㅋㅋㅋㅋㅋ,39,화자2,"비난,혐오",1,0,0,0,1,0,0,0
ㅋㅋㅋ 더 도태되고 싶나보네,39,화자3,비난,0,0,0,0,1,0,0,0
틀딱 말 듣지 마라~,39,화자3,"비난,혐오",1,0,0,0,1,0,0,0
요즘 여자들 평등 어쩌구 하면서 더치페이 안하는 거 진짜 개념 없음,40,화자1,비난,0,0,0,0,1,0,0,0
데이트나 해보고 말하는 건가 ㅋㅋㅋㅋ,40,화자2,비난,0,0,0,0,1,0,0,0
너 같은 애랑 데이트 해주는 여자는 있니?,40,화자2,비난,0,0,0,0,1,0,0,0
더치페이에 부들부들 하는 한남 수준...,40,화자3,비난,0,0,0,0,1,0,0,0
그것도 능력 안 되서 못하니까 연애를 못하지 ㅋㅋㅋ,40,화자3,비난,0,0,0,0,1,0,0,0
오늘 우리 남자 동기 부장이 한 소리 했다고 하루종일 뾰루퉁해 있는데 애새낀줄 알았어,41,화자1,"비난,욕설",0,0,0,1,1,0,0,0
뭣도 없는게 자존심만 세서 그래,41,화자2,비난,0,0,0,0,1,0,0,0
아오 진짜 별것도 아닌 거 가지고 난리임,41,화자1,비도덕 아님,0,0,0,0,0,1,0,0
하여튼 한남 답다,41,화자2,비난,0,0,0,0,1,0,0,0
고작 저런 걸로 한남은 화가 나는거? 인생 레알쉽네?,41,화자3,비난,0,0,0,0,1,0,0,0
아저씨들 포차 모여서 분위기에 취해 있는거 진짜 꼴보기 싫으네,42,화자1,비난,0,0,0,0,1,0,0,0
한남 감성 쉰내나,42,화자2,"혐오,비난",1,0,0,0,1,0,0,0
으 오늘 지하철 탔는데 앞자리 할아버지가 계속 내 다리 쳐다봄,43,화자1,비도덕 아님,0,0,0,0,0,1,0,0
틀딱이 더럽게 우웩,43,화자2,"혐오,비난",1,0,0,0,1,0,0,0
지하철에서 돌아다니면서 종교 얘기하는 틀딱들 진짜 짜증나네,44,화자1,비난,0,0,0,0,1,0,0,0
틀딱들 지옥가서 불에 타 뒤져라,44,화자1,"혐오,비난,폭력",1,0,0,0,1,0,1,0
할 말이 있고 못할 말이 있는데 너무 심하네,44,화자2,비도덕 아님,0,0,0,0,0,1,0,0
말투 진짜 틀딱이네,44,화자1,"혐오,비난",1,0,0,0,1,0,0,0
남자라면 솔직히 어린 여자한테 성적 판타지 있지 않음?,45,화자1,선정,0,1,0,0,0,0,0,0
드러워 진짜 한남 샛기들은 대긋빡에 뭐가 들어가있냐,45,화자2,"혐오,비난,욕설",1,0,0,1,1,0,0,0
페미니즘 세뇌 교육 당장 금지시켜야 돼,46,화자1,비도덕 아님,0,0,0,0,0,1,0,0
그런 교육 받으니까 요즘 애들이 이상해지는 거야,46,화자1,비도덕 아님,0,0,0,0,0,1,0,0
한남샛기는 제발 입이라도 닥치고 있어라,46,화자2,"비난,욕설",0,0,0,1,1,0,0,0
대체 무슨 교육을 받으면 한남 될까...,46,화자3,비난,0,0,0,0,1,0,0,0
결혼 전까지는 남친이랑 잠자리 갖기 싫은데 이해해줄까?,47,화자1,비도덕 아님,0,0,0,0,0,1,0,0
한남들은 소추에 지배된 뇌를 가지고 있어서 그거 이해 못해,47,화자2,"혐오,비난",1,0,0,0,1,0,0,0
이거 우리 부장이 제안한 디자인인데 평가좀,48,화자1,비도덕 아님,0,0,0,0,0,1,0,0
진짜 구리지 않냐?,48,화자1,비난,0,0,0,0,1,0,0,0
진심 원래 디자인 쉰내나... 틀딱은행,48,화자2,"비난,혐오",1,0,0,0,1,0,0,0
그치 그래서 우리가 다 바꿨음,48,화자1,비도덕 아님,0,0,0,0,0,1,0,0
그 부장은 일찍 태어나서 좋겠다,48,화자2,비도덕 아님,0,0,0,0,0,1,0,0
능력도 없는데 부장이랍시고 빌붙을 수 있어서,48,화자2,비난,0,0,0,0,1,0,0,0
오늘 아침 지하철에 할아버지가 마스크 안 해서 경찰인가 경비들 오고 난리도 아니었음,49,화자1,비도덕 아님,0,0,0,0,0,1,0,0
안내방송 계속 나오는데 자긴 줄 아는 건지 모르는 건지 꿈쩍도 안 함,49,화자1,비도덕 아님,0,0,0,0,0,1,0,0
틀딱할배들 진짜 문제임... 할머니들은 안 저러심,49,화자2,"혐오,비난",1,0,0,0,1,0,0,0
틀딱의 표본 규칙 절대 안 지킴,49,화자3,비난,0,0,0,0,1,0,0,0
동료 교사 중에 일베 있는 것 같아,50,화자1,비도덕 아님,0,0,0,0,0,1,0,0
남자가 남자가 하면서 개빻은 소리해,50,화자1,비난,0,0,0,0,1,0,0,0
그런 놈 보고 배울 우리나라 잼민이들 생각하면 답답함,50,화자2,비난,0,0,0,0,1,0,0,0
다 미래의 한남들...,50,화자2,"비난,혐오",1,0,0,0,1,0,0,0
아오 pc방에서 애들이 담배 빡빡 피면서 게임하는데 진짜 갑갑하더라,51,화자1,비도덕 아님,0,0,0,0,0,1,0,0
잼민이들 정신 좀 차리고 살아라,51,화자2,"비난,혐오",1,0,0,0,1,0,0,0
아침부터 지하철에 한남 쩍벌 때문에 개빡치네,52,화자1,"비난,혐오",1,0,0,0,1,0,0,0
한남 회초리로 줘패야 안 그럴라나,52,화자2,"비난,폭력,혐오",1,0,0,0,1,0,1,0
중국에서는 주로 남자들이 요리한대,53,화자1,비도덕 아님,0,0,0,0,0,1,0,0
한남이 짱깨보다 못함,53,화자1,"혐오,비난",1,0,0,0,1,0,0,0
도태한남 ㅋ,53,화자2,비난,0,0,0,0,1,0,0,0
요즘 여자애들 왜 이렇게 사납냐?,54,화자1,비도덕 아님,0,0,0,0,0,1,0,0
예쁜 애들은 착해 못생긴 애들이 사납지,54,화자2,차별,0,0,0,0,0,0,0,1
아아 도태한남들 여기 다 모였구만,54,화자3,"혐오,비난",1,0,0,0,1,0,0,0
이번에 한남이 청와대에 위안부 재창설 청원한거 봤냐?,55,화자1,비도덕 아님,0,0,0,0,0,1,0,0
밋틴건가 아니면 원래 한남들이 저런건가,55,화자1,비도덕 아님,0,0,0,0,0,1,0,0
한남들은 진짜 멸종해야함 단체로 빡머갈,55,화자2,"혐오,비난,폭력",1,0,0,0,1,0,1,0
으악... 일남한남 손잡고 재기 좀 ㅠ,55,화자3,"혐오,폭력",1,0,0,0,0,0,1,0
와 저 커플 봐,56,화자1,비도덕 아님,0,0,0,0,0,1,0,0
더치페이스 안 되나,56,화자1,비도덕 아님,0,0,0,0,0,1,0,0
남자 면상 갈렸네,56,화자1,비난,0,0,0,0,1,0,0,0
저것도 좀 꾸민거 같은데 개웃김 ㅋㅋㅋㅋㅋ,56,화자2,비난,0,0,0,0,1,0,0,0
나 오늘 회사에서 실수해서 너무 우울해,57,화자1,비도덕 아님,0,0,0,0,0,1,0,0
여자는 예쁘면 어느 정도 다 용서 되는데 못생겨서 걱정되나봄,57,화자2,비난,0,0,0,0,1,0,0,0
한남 표본이네 레알 밋틴넘,57,화자1,"비난,욕설",0,0,0,1,1,0,0,0
좋게 말해 청순한거지 앞판인지 등판인지 구분 안 되는 게 뭐가 좋냐,58,화자1,"비난,선정",0,1,0,0,1,0,0,0
나는 얘 좋아하는 애 이해 안 됨,58,화자1,비도덕 아님,0,0,0,0,0,1,0,0
한남어학과 수석이시네...,58,화자2,비난,0,0,0,0,1,0,0,0
응~ 한남 소추는 말랑카우보다 작음,58,화자3,"비난,선정",0,1,0,0,1,0,0,0
내 남자친구 가끔 말하는 거 들어보면 약간 일베 같아,59,화자1,비도덕 아님,0,0,0,0,0,1,0,0
정치 성향도 그렇고 가끔 이상한 말 해,59,화자1,비도덕 아님,0,0,0,0,0,1,0,0
한남 걸러라 제발,59,화자2,혐오,1,0,0,0,0,0,0,0
한남은 다 일베지 뭐,59,화자3,혐오,1,0,0,0,0,0,0,0
하 한남들은 죽이던가 죽도록 패야함,60,화자1,"혐오,폭력",1,0,0,0,0,0,1,0
